title,author,genre,pages,rating,ratings_count,reviews_count,year,publisher,language,description,price
قطز,Monther Alkabbani,"Novels, Fantasy, Fiction",399.0,4.16,4888,434,2014.0,,,ما من شيء سيكون إلا وقد كانما من شيء سيزول إلا وقد زالوكأن اليوم قد جاء بالأمسوكأن الأمس سيجيء غدالا تقرأ هذه الرواية إلا إذا كنت على أتم الاستعداد لرؤية العالم بمنظور آخر,
التخلف الاجتماعي: مدخل إلى سيكولوجية الإنسان المقهور,مصطفى حجازي,"Psychology, Sociology, Nonfiction",256.0,4.17,4769,904,2005.0,Sahla Books,ar,تقوم هذه المحاولة منهجياً على الملاحظة والتحليل النفسي والاجتماعي للظواهر المعاشة. وهي تدخل في إطار علم النفس الاجتماعي العيادي، الذي يدرس الظواهر النفس اجتماعية بالطريقة العيادية، وقد يطرح كونها لا ت,359.0
أنا عشقت,Mohamed Mansi Qandil,"Novels, Romance, Fiction",436.0,3.3,9509,1382,2012.0,,,على رصيف المحطة، وقفت ورد لتودع حبيبها حسن قبل الرحيل. وقفت هناك.. ولم تتحرك بعد ذلك ثانية. وقفتها المتسمرة تلك دفعت ببطل الرواية في رحلة من مدينته الصغيرة إلى القاهرة التي تغلي من شدة القهر، ورغما عن,
القوقعة: يوميات متلصص,Mustafa Khalifa,"Novels, Fiction, Politics",383.0,4.34,15830,2844,2007.0,,,إنّه زمن “القوقعة”، حيث يختلط كل شيء. لا حدود فاصلة بين الماضي والحاضر، السوريالي والواقعي. هي ليست مجرّد رواية يقصّها علينا أحدهم. هي نص يختزن الرعب، الخوف، الظلم..الإحتضار. تدور الأحداث في ثمانينيّا,
كيف تصبح إنسانًا؟: ما بعد التنمية الذاتية,شريف عرفة,"Psychology, Self Help, Nonfiction",358.0,4.12,2388,303,2014.0,Al Masriah Al Lubnaniah,ar,هل الإنسان مجرد حيوان يدعي أنه ليس كذلك؟ سؤال صادم، وكذلك عنوان هذا الكتاب ومحتواه.. فهو ليس ككتب التنمية الذاتية التقليدية، بل يناقش موضوعات مختلفة كالطبيعة البشرية ومعنى الحياة والإرادة والأخلاق وال,558.44
الإسلام بين الشرق والغرب,Alija Izetbegović,"Islam, Religion, Philosophy",416.0,4.47,12171,2188,1980.0,,ar,كتاب «الإسلام بين الشرق والغرب»، هو نتيجة لدراسة واسعة متعددة الجوانب لأبرز الأفكار العالمية في تاريخ البشرية المعاصر. إن ظاهرة نسيان الذات التي تميز بها التاريخ الحديث للعالم الإسلامي، تضع المفكر الش,
أرض البرتقال الحزين,Ghassan Kanafani,"Short Stories, Fiction, Novels",102.0,4.03,12607,2023,1962.0,,ar,أرض البرتقال الحزين ترسم في قصصها المختلفة الأوجه المتعددة لمأساة الفلسطيني، كأنها تريد من القصة أن تكون مرآة الواقع والذاكرة، ومن اللغة أن تكون مجموعة من الانحناءات المتعددة أمام الألم الإنساني الذي ,
ظل الأفعى,Youssef Ziedan,"Novels, Fiction, Literature",170.0,2.98,12943,1811,2006.0,,,محيطًا بلا نهاية.... وحدى، أنا... سأبقى، وأصيرُ..... أفعى، عصيَّةً..تحكى هذه الرواية تحولات صورة الأنثى في ثقافتنا. فهي تروى سيرورة الصورة، وصيرورتها من أفق الأنثى المقدسة إلى دهاليز النسوة المدنسات. ,
ماجدولين,Alphonse Karr,"Novels, Classics, Fiction",227.0,3.87,20744,3250,1832.0,Al-Karma Books,ar,"""تحت ظلال الزيزفون sous les tilleuls""هى الرواية التي كتبها الأديب الفرنسي ""ألفونس كار"" (1808-1890م)، وقد اطلع ""المنفلوطي"" على تعريبها؛ فأعجِب بها، وأعاد صياغتها بأسلوبه الخاص، ونشرها تحت عنوان ""ماجدول",335.63
ديوان الإمام الشافعي,محمد بن إدريس الشافعي,"Poetry, Religion, Literature",218.0,4.44,5260,609,,,ar,يضم هذا الكتاب بين دفتيه كل ما وصل إلينا من شعر (الإمام الشافعي) هذا الشعر الذي يتسم بالسمة الأخلاقية؛ ولا غرابة في ذلك فهو العالم الفقيه الحافظ المحدث؛ الذي شغلته العلوم القرآنية والدينية عن سواها إل,
رحلتي مع غاندي,أحمد الشقيري,"Nonfiction, Biography, Self Help",146.0,3.65,7366,1149,2011.0,Sahla Books,ar,ماذا ستجد في هذا الكتاب؟ستجد خواطر وحكم حول جوانب عديدة في الحياة. كلنا في النهاية نعاني من نفس الهموم ولدينا نفس الضعف البشري، وفي هذا الكتاب أتحدث بصراحة وشفافية عن هذا الضعف وعن رحلتي في علاجه وتقو,359.0
يوم غائم في البر الغربي,Mohamed Mansi Qandil,"Novels, Fiction, Historical Fiction",572.0,3.77,6449,924,2006.0,,,تدور أحداث هذه الرواية الشيقة والممتعة للكاتب المتميز محمد المنسي قنديل في مصر في مطلع القرن العشرين، حيث يحكي لنا عن عائشة، الفتاة الجميلة التي عاشت الحب وعانت من النبذ والخديعة، ورحلتها الطويلة، من ,
في عقيدة الحب كلنا يهود,معجب الشمري,"Poetry, Romance, Novels",129.0,3.51,4271,410,2013.0,,ar,تذيب الحياة أحزاننا حين نؤمن بأن الله قادر على كل شيء قادر على أن يحرس أحلامنا ويحققها وينبت من جذورها الدوام . إن النساء لا يُهاتفهنّ الحُزن حين يأتي، بل يتربّص لكل امرأة تعرف رجلاً شرقياً، ليس لأن ا,
انكسار الروح,Mohamed Mansi Qandil,"Novels, Fiction, Literature",233.0,3.59,3251,606,1992.0,,,روايةإنكسار الروح هي النموذج القياسي لأدب الستينيات، تنقل كل سمات وملامح الستينات، بدءأً من القمع الفكري والسياسي مروراً بالطبقية الحثيثة ومرارة الهزيمة والإنكسار النفسي ودائرة الإحباط المغلقة وقصص ال,
ثقوب في الثوب الأسود,إحسان عبد القدوس,"Novels, Fiction, Classics",200.0,3.93,2103,269,1962.0,,ar,رواية رائعة ..تتناول قضية الماتيس و هم من يولد لأب أبيض و أم زنجية و يعيش منبودا في المجتمع الأفريقي ..سامي الماتيس يكتشف نفسه بمساعدة الطبيب النفسي المصري و يقرر أن يكون زنجياً يدافع عن حقوق مجتمعه .,
رأيت رام الله,Mourid Barghouti,"Nonfiction, Middle East, Memoir",263.0,4.21,19109,3483,1997.0,,,"""رأيت رام الله"" كتاب فاز بجائزة نجيب محفوظ للإبداع الأدبي (1997) هل هي رام الله سرّ الإبداع المحقق!! أم أنها الثلاثون عاماً من الغربة أشعلت في القلب الحنين والاشتياق إلى ساكني رام الله!! أم أنه الوطن ",
أنت لي,منى المرشود,"Novels, Romance, Fiction",1607.0,3.84,25171,3037,2007.0,Arab Scientific Publishers,ar,وامتدت على مدى اكثر من 15 عاما.... تغير الشخوص والاحداث.... ذهب الامان وحلت الحرب ثم رحلت الحرب وعاد الامان من جديد... مات من مات و عاش من بقي ليروي لنا احداثها وان كانت من صنع الخيال طفلة كان ابن عمه,
1/4 جرام,Essam Youssef,"Novels, Fiction, Literature",667.0,4.02,19761,2144,2008.0,,,"اجتمعنا كلنا حول المائدة.. دقات الساعة تعلن السابعة، رامي يلف السجائر، أحمد كعادته يقرأ الصحف، علاء شغله الشاغل الاطمئنان على زجاجات الخمور والبيرة المثلجة، حسين لا يتوقف عن الحديث عن الكرة وصلاح ""يفْ",
ليالي ألف ليلة,Naguib Mahfouz,"Fiction, Fantasy, Novels",298.0,4.11,10142,1518,1979.0,,,ليالي ألف ليلة وليلة معاصرة... ومملكة شهريار مدائن معاني تضج في خيال نجيب محفوظ... وشهرزاد رمزاً ينسحب... يتسلل من الماضي كاسم ليكون شهرزادات وليكون شهريار شهريارات ولتأتي الحكاية حكاية كل زمان وكل مك,
ثرثرة فوق النيل,Naguib Mahfouz,"Fiction, Novels, Egypt",199.0,3.74,10727,1357,1966.0,,ar,تمضي الحكاية بين دهاليز عوامة نجيب محفوظ. يسمع ثرثراتها فوق النيل وكأنها أحاديث تدور ودارت في ردهات الحياة وكأن العوامة مدينة قرية محطة من محطات الحياة تداعى إليها رواداً من مشارب شتى وكانت أحاديث شتى,
جاسوس من أجل لا أحد: ستة عشر عامًا في المخابرات,Basel Saneeb,"Biography, Politics",263.0,3.95,66,14,2020.0,,,"انصحكم جميعا بقراءة هذا الكتاب لأنه يوضح قضية الشعب السوري ويعرض تفاصيل مهمة جدا وهو مختلف  :ومتميز عن بقية الكتب العربية وهو كتاب "" جاسوس من أجل لا أحد "" المؤلف :"" باسل محمد روحي صنيب .Basel Saneeb.A",
أنبياء الله,أحمد بهجت,"Religion, Nonfiction, History",478.0,4.37,2467,309,1972.0,,ar,يزيد عطش الحياة إلى شموس تضئ بغير أن تحترق أو تحرق تستمد ضوءها من نور السماوات والأرض جل جلاله وهؤلاء هم الأنبياء . تناولت قصص الأنبياء كتب كثيرة وأقلام عديدة . والجديد في هذا الكتاب هو أسلوب التناول ,
لا أحد ينام في الإسكندرية,Ibrahim Abdel Meguid,"Novels, Egypt, Fiction",464.0,3.82,4418,663,1996.0,,,البحر المتوسط بحر صغير للغاية، إن عظمته وامتداد تاريخه يجعلاننا نتخيله أكبر مما هو عليه الاّن، إلا أن الإسكندرية لا يقل واقعها عما يمكن تخيله عنها..,
